                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2878,                 1.0765,                 1.3893,                0.75554,                0.71063,                0.78262,                0.41147,                 1.6058,                 1.1531,                 1.6191,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.2853,                 1.0724,                 1.3847,                0.78177,                0.74809,                0.82176,                0.44258,                 1.5456,                 1.0373,                 1.5611,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.2826,                 1.0478,                 1.3891,                0.78724,                0.74481,                0.81245,                0.45631,                 1.5227,                 1.0122,                  1.542,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.2692,                 1.0307,                 1.3747,                0.77817,                0.70741,                0.78123,                0.42098,                 1.6019,                 1.0734,                 1.6029,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.2594,                 1.0219,                 1.3732,                0.78659,                0.71767,                0.79123,                0.41725,                 1.5922,                 1.0689,                 1.6178,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.2763,                 1.0299,                 1.3819,                0.81484,                0.77287,                   0.84,                0.47491,                 1.5058,                0.95163,                 1.5455,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.2473,                 1.0398,                 1.3716,                0.75893,                0.72573,                 0.7803,                0.41266,                 1.6345,                 1.1181,                 1.6226,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.2276,                0.98925,                 1.3514,                0.80203,                0.76963,                0.83856,                0.48409,                 1.4271,                0.96642,                 1.4732,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.2251,                0.98662,                 1.3501,                0.80623,                0.78565,                0.83339,                0.47287,                 1.4808,                0.94108,                   1.51,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.2109,                0.96337,                 1.3366,                0.79097,                0.79219,                0.84063,                0.48167,                  1.467,                0.94507,                 1.5155,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.1899,                0.94146,                 1.3358,                0.79578,                0.77991,                0.84564,                0.48386,                 1.4773,                0.93024,                 1.5081,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.1899,                0.94734,                 1.3217,                0.81718,                0.71229,                0.80018,                0.45053,                 1.5462,                0.98412,                 1.5701,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.1972,                0.94847,                 1.3338,                 0.8149,                0.78584,                0.84918,                0.50155,                  1.423,                0.90311,                 1.4633,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.1981,                0.94699,                 1.3297,                0.81946,                0.76864,                0.84567,                0.49053,                  1.451,                0.90456,                 1.4871,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.1889,                0.93843,                  1.332,                0.82308,                0.78644,                0.85186,                0.48858,                 1.4318,                0.90954,                 1.4845,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.1717,                0.93089,                 1.3228,                0.82077,                0.77716,                0.84343,                0.48174,                 1.4658,                0.92174,                 1.4918,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.1686,                0.92617,                 1.3118,                0.86168,                0.79956,                0.87055,                0.51339,                 1.4108,                 0.8711,                 1.4532,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.1837,                0.93429,                 1.3116,                0.86663,                0.77754,                0.87167,                0.50929,                 1.4149,                0.87447,                 1.4505,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.1702,                0.91752,                 1.3097,                 0.8427,                0.80395,                0.86848,                0.51546,                 1.3999,                0.86369,                 1.4576,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.1426,                0.88187,                 1.2919,                0.84603,                0.79969,                0.87345,                0.52122,                 1.4009,                0.85143,                   1.44,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.1344,                0.86909,                  1.285,                0.82855,                0.79723,                 0.8642,                 0.5164,                 1.4205,                0.86839,                 1.4622,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.1314,                0.86701,                 1.2874,                0.83492,                0.78715,                 0.8573,                 0.5015,                   1.45,                0.88364,                 1.4821,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.1414,                0.86112,                 1.2869,                0.85175,                0.79597,                0.85973,                0.51008,                 1.4014,                0.84977,                 1.4598,             0.00075932,             0.00075932,             0.00075932
                     57,                    1.1,                0.86355,                 1.2699,                0.84807,                0.82441,                0.86565,                  0.498,                 1.4485,                0.85488,                 1.4898,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.1398,                0.87977,                 1.2864,                0.86393,                0.77651,                0.87385,                0.50976,                 1.4322,                0.82626,                 1.4772,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.1096,                0.85662,                 1.2767,                0.86466,                0.79837,                0.87072,                0.52722,                 1.3631,                0.81173,                 1.4324,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.1008,                0.83209,                 1.2682,                0.85339,                0.78547,                 0.8584,                 0.4874,                 1.4636,                0.86612,                 1.5108,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.1026,                 0.8284,                 1.2727,                0.83194,                0.79611,                0.86611,                 0.5199,                 1.3867,                0.82342,                 1.4559,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.0808,                0.80657,                 1.2584,                0.84941,                0.81049,                0.87799,                0.53094,                 1.3741,                0.80334,                 1.4272,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.0855,                0.81496,                 1.2542,                0.86026,                0.81821,                0.88127,                0.53849,                 1.3494,                0.78756,                 1.4083,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.0757,                0.81013,                 1.2516,                0.85337,                0.82418,                0.87958,                0.53653,                 1.3639,                0.78316,                 1.4282,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.0712,                0.79817,                 1.2425,                0.85307,                0.81757,                0.87254,                0.53245,                 1.3667,                0.80574,                 1.4329,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.0588,                0.77934,                 1.2364,                0.84749,                0.82983,                0.87692,                0.53467,                 1.3679,                0.78189,                 1.4338,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.0752,                0.79746,                 1.2459,                 0.8574,                0.82638,                0.88437,                0.55057,                 1.3114,                0.78561,                  1.387,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.0689,                0.77153,                 1.2338,                0.81145,                0.83367,                0.88596,                0.53624,                 1.3616,                0.77287,                 1.4436,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.0434,                0.77733,                 1.2341,                0.87985,                0.78668,                  0.873,                0.53634,                 1.3715,                0.79502,                 1.4339,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.0463,                 0.7648,                 1.2194,                0.85349,                0.83082,                 0.8845,                0.55165,                 1.3197,                0.75138,                 1.3976,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.0483,                0.76523,                 1.2158,                0.87996,                0.84502,                0.89611,                0.56134,                 1.3258,                0.74066,                 1.3949,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.0325,                0.76052,                 1.2255,                0.85442,                0.85031,                0.88779,                0.53832,                 1.3646,                0.77206,                 1.4246,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.0392,                0.76133,                 1.2279,                0.87002,                0.83461,                0.88727,                0.55572,                 1.3264,                0.74665,                 1.3959,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.0337,                0.77371,                 1.2197,                0.84667,                 0.8419,                0.88319,                0.54609,                 1.3444,                0.76473,                 1.4162,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.0234,                0.74362,                 1.2138,                0.88162,                 0.8341,                0.89392,                0.55722,                 1.3222,                0.74223,                 1.4097,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.0129,                0.73286,                 1.2089,                0.87806,                0.84504,                0.90449,                0.56794,                 1.3015,                0.71823,                 1.3921,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.0136,                 0.7463,                 1.2161,                0.88354,                0.82941,                0.89347,                 0.5543,                 1.3206,                0.74216,                 1.3981,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.0051,                 0.7248,                 1.1999,                0.83894,                0.85225,                0.89614,                0.56209,                 1.3333,                0.72646,                 1.4125,             0.00039625,             0.00039625,             0.00039625
                     79,                0.98602,                0.71085,                 1.1923,                0.85977,                0.83519,                0.89628,                0.56572,                  1.311,                0.72849,                 1.3901,             0.00037974,             0.00037974,             0.00037974
                     80,                0.99949,                0.71223,                 1.1989,                0.87784,                0.84382,                 0.9062,                0.57509,                 1.2826,                0.69589,                 1.3731,             0.00036324,             0.00036324,             0.00036324
                     81,                0.98131,                0.71485,                  1.185,                0.86596,                 0.8596,                0.90249,                0.57509,                 1.2778,                0.70607,                 1.3679,             0.00034674,             0.00034674,             0.00034674
                     82,                0.97972,                0.70558,                 1.1861,                 0.8792,                 0.8437,                0.90375,                0.57436,                 1.2897,                0.70889,                 1.3858,             0.00033023,             0.00033023,             0.00033023
                     83,                0.95936,                0.68777,                 1.1789,                0.88946,                0.83568,                0.90097,                0.57613,                 1.2834,                0.70902,                 1.3894,             0.00031373,             0.00031373,             0.00031373
                     84,                0.95244,                0.69254,                 1.1745,                0.88813,                0.84254,                0.90749,                0.58135,                 1.2677,                 0.6899,                 1.3747,             0.00029723,             0.00029723,             0.00029723
                     85,                0.95686,                0.68279,                 1.1791,                0.88879,                0.83534,                0.90522,                0.57596,                 1.2908,                0.70693,                 1.3815,             0.00028072,             0.00028072,             0.00028072
                     86,                0.96102,                0.68762,                 1.1739,                0.86452,                0.87438,                0.90622,                0.58231,                 1.2597,                0.67932,                 1.3656,             0.00026422,             0.00026422,             0.00026422
                     87,                0.94189,                0.67915,                 1.1689,                0.89242,                0.83925,                0.90161,                0.57671,                 1.2686,                0.69915,                 1.3758,             0.00024772,             0.00024772,             0.00024772
